status_name,carrier_name,status_type,substatus_type
1ST FLT ON-BOARDED,Nippon Express,Transit,Onboard at Departure Terminal
20220611 IN DFW BOOKED ON FLT AA0522 TO CLT STD 1831,Team Air,Transit,Onboard at Departure Terminal
20220611 IN DFW BOOKED ON FLT AA2481 TO SJU STD 0840,Team Air,Transit,Onboard at Departure Terminal
20220612 IN CLT BOOKED ON FLT AA1852 TO SJU STD 1105,Team Air,Transit,Onboard at Departure Terminal
20220612 IN DFW BOOKED ON FLT AA1405 TO MIA STD 1906,Team Air,Transit,Onboard at Departure Terminal
20220613 IN MIA BOOKED ON FLT AA1613 TO SJU STD 1010,Team Air,Transit,Onboard at Departure Terminal
20220613 IN MIA BOOKED ON FLT AA1650 TO SJU STD 1900,Team Air,Transit,Onboard at Departure Terminal
20220614 IN CLT BOOKED ON FLT AA2316 TO BWI STD 1310,Team Air,Transit,Onboard at Departure Terminal
20220614 IN DFW BOOKED ON FLT AA2943 TO CLT STD 0500,Team Air,Transit,Onboard at Departure Terminal
20220922 IN DFW BOOKED ON FLT AA0446 TO SFO STD 2237,Team Air,Transit,Onboard at Departure Terminal
20220923 IN DFW BOOKED ON FLT AA2019 TO SFO STD 0926,Team Air,Transit,Onboard at Departure Terminal
2ND FLT ON-BOARDED,Nippon Express,Transit,Onboard at Departure Terminal
A CLAIM HAS BEEN ISSUED TO THE SENDER FOR YOUR PACKAGE. PLEASE CONTACT THE SENDER FOR MORE INFORMATION.,UPS,Exception,Loss/Returns
ACTUAL PICKUP TIME,DHL Global Forwarding,Transit,Pick Up Confirmed
ADDRESS INFORMATION IS INCOMPLETE. THE PACKAGE WAS RETURNED TO THE SENDER.,UPS,Exception,Loss/Returns
ADDRESS QUERY. WE'LL FOLLOW THIS UP WITH THE RECEIVER OR CONTACT THE SENDER IF NECESSARY.,TNT,Exception,Incorrect Info
A DELAY HAS OCCURRED DUE TO LATE PROCESSING BY UPS BROKERAGE. WE ARE ADJUSTING DELIVERY PLANS AS QUICKLY AS POSSIBLE.,UPS,Exception,Carrier Delays
A DELIVERY CHANGE FOR THIS PACKAGE IS IN PROGRESS. / DELIVERY TO A UPS ACCESS POINT LOCATION IS PENDING.,UPS,Exception,Incorrect Info
A DELIVERY CHANGE FOR THIS PACKAGE IS IN PROGRESS. / THE PACKAGE WILL BE RETURNED TO THE SENDER.,UPS,Exception,Loss/Returns
A DELIVERY CHANGE FOR THIS PACKAGE IS IN PROGRESS. / YOUR PACKAGE WILL BE DELIVERED TO AN ALTERNATE ADDRESS.,UPS,Exception,Incorrect Info
A DELIVERY CHANGE HAS BEEN COMPLETED AND YOUR SHIPMENT WILL BE FORWARDED TO A UPS ACCESS POINT.,UPS,Transit,Other Delays
A FLIGHT CANCELATION HAS DELAYED DELIVERY. WE'RE UPDATING PLANS TO DELIVER YOUR PACKAGE AS QUICKLY AS POSSIBLE.,UPS,Exception,Traffic Delays
A FLIGHT CANCELATION HAS DELAYED DELIVERY. WE'RE UPDATING PLANS TO DELIVER YOUR PACKAGE AS QUICKLY AS POSSIBLE. / YOUR DELIVERY WILL BE RESCHEDULED.,UPS,Exception,Traffic Delays
